STOP_ID;X;Y;TIPO;CALLE;NUMERO;ENTRE1;ENTRE2
1002711;-58.4692506557876;-34.6385723121;PARADA NO OFICIAL;MARTI, JOSE;608;;
1007229;-58.5290156876112;-34.6385939135;PARADAS DE POSTE;PAZ, GRAL. AV. COLECTORA;10556;ROFFO, ANGEL H., DR.;JACQUES, AMADEO
1005313;-58.3695572506346;-34.6385977716;PARADA NO OFICIAL;REGIMIENTO DE PATRICIOS AV.;945;;
1004315;-58.3898977651506;-34.6386348798;PARADAS DE POSTE;VELEZ SARSFIELD AV.;360;;LOS PATOS
10710;-58.4833177765439;-34.6386392245;;;;;
10711;-58.5073497750626;-34.6386440621;;;;;
10712;-58.4176778034974;-34.6386475168;;;;;
15050;-58.4145533072027;-34.6386698452;;;;;
1006409;-58.3740741880841;-34.6386722836;PARADAS DE POSTE;SUAREZ;1684;;
1005276;-58.3693923576953;-34.6386752368;PARADA NO OFICIAL;REGIMIENTO DE PATRICIOS AV.;950;;
10719;-58.3745801200725;-34.6386754728;;;;;
1005621;-58.3578958938984;-34.6386838715;PARADAS DE POSTE;DON PEDRO DE MENDOZA AV.;1657;;
10723;-58.3622298400100;-34.6386853612;;;;;
1002486;-58.4593625359592;-34.6386915055;PARADAS DE POSTE;VARELA AV.;806;;
10716;-58.4902975881725;-34.6386934804;;;;;
1001206;-58.4237700565215;-34.6387055577;PARADAS DE POSTE;LA PLATA AV.;2046;GIBSON;RONDEAU
1001196;-58.4152321212832;-34.6387234631;PARADA NO OFICIAL;CASEROS AV.;3551;;
1006293;-58.4825628689599;-34.6387308618;PARADAS DE POSTE;ALBERDI, JUAN BAUTISTA AV.;4063;;
1001552;-58.4159798457190;-34.6387539683;PARADAS DE POSTE;BOEDO AV.;2093;CHICLANA AV.;CASEROS AV.
10724;-58.4359175980269;-34.6387572557;;;;;
1005425;-58.4130446040685;-34.6387578476;PARADAS DE POSTE;TABORDA, DIOGENES;22;SOLANO LOPEZ, F., MARISCAL;
1006564;-58.3879856674251;-34.6387578689;PARADAS DE POSTE;ALCORTA, AMANCIO AV.;1889;;
1001197;-58.4154693966245;-34.6387651066;PARADA NO OFICIAL;CASEROS AV.;3579;ALZAGA;BOEDO AV.
1005156;-58.4032891402367;-34.6387704016;PARADAS CON REFUGIO;ZAVALETA;170;;
1005418;-58.4114412731296;-34.6387741166;PARADAS DE POSTE;ALMAFUERTE AV.;;USPALLATA;CASEROS AV.
1006403;-58.3746201937846;-34.6388047647;PARADA NO OFICIAL;SUAREZ AV.;1702;;
1006172;-58.5212911839133;-34.6388207896;PARADA NO OFICIAL;RIVADAVIA AV.;11099;;
1006173;-58.5212911839133;-34.6388207896;PARADAS DE POSTE;RIVADAVIA AV.;11099;GORDILLO, TIMOTEO;
1005314;-58.3695217319808;-34.6388270776;PARADA NO OFICIAL;REGIMIENTO DE PATRICIOS AV.;967;;
1005315;-58.3695217319808;-34.6388270776;PARADA NO OFICIAL;REGIMIENTO DE PATRICIOS AV.;969;;
1005395;-58.4831636195746;-34.6388282170;PARADAS DE POSTE;LACARRA;393;;
1006292;-58.4827995876214;-34.6388392345;PARADA NO OFICIAL;ALBERDI, JUAN BAUTISTA AV.;4095;;
1003152;-58.4318111620964;-34.6388462898;PARADAS DE POSTE;MORENO, JOSE MARIA AV.;1751;;
1005419;-58.4113989043618;-34.6388577237;PARADAS DE POSTE;ALMAFUERTE AV.;;USPALLATA;CASEROS AV.
1005732;-58.4932427877206;-34.6388696077;PARADA NO OFICIAL;WHITE;187;;
1006174;-58.5236114617693;-34.6388699465;PARADA NO OFICIAL;RIVADAVIA AV.;;CARHUE;GORDILLO TIMOTEO
1003138;-58.4452604908091;-34.6388717750;PARADA NO OFICIAL;DIAZ, AVELINO;1896;;
1005631;-58.3666630793825;-34.6388780804;PARADA NO OFICIAL;OLAVARRIA;1016;;
10744;-58.5087004494923;-34.6388821593;;;;;
10747;-58.4158438221148;-34.6388963410;;;;;
1006171;-58.5196325795433;-34.6389113096;PARADA NO OFICIAL;RIVADAVIA AV.;11049;;
1005275;-58.3693557796930;-34.6389113786;PARADA NO OFICIAL;REGIMIENTO DE PATRICIOS AV.;980;;
1006175;-58.5244606409217;-34.6389176702;PARADA NO OFICIAL;RIVADAVIA AV.;;CARHUE;COSQUIN
10749;-58.4453710370421;-34.6389234072;;;;;
10907;-58.5237298986195;-34.6389319042;;;;;
10845;-58.5212171136801;-34.6389323611;;;;;
1004675;-58.4491860163994;-34.6389326538;PARADA NO OFICIAL;CARABOBO AV.;1212;;
1006340;-58.5227588315250;-34.6389448533;PARADA NO OFICIAL;RIVADAVIA AV.;11210;;
1001447;-58.4186643190716;-34.6389450043;PARADAS DE POSTE;CASTRO;2286;CHICLANA AV.;RONDEAU
1006143;-58.5096797916433;-34.6389450883;PARADAS DE POSTE;RIVADAVIA AV.;10381;;
1006176;-58.5247682399386;-34.6389477326;PARADAS DE POSTE;RIVADAVIA AV.;;MONTIEL;COSQUIN
234;-58.3584739782253;-34.6389489078;;;;;
1006499;-58.3811458404513;-34.6389585238;PARADAS CON REFUGIO;CARRILLO, RAMON, DR.;536;;
1106499;-58.3811458404513;-34.6389585238;;;;;
15054;-58.5205417804968;-34.6389695154;;;;;
235;-58.3602981550472;-34.6389829893;;;;;
1006178;-58.5258365564918;-34.6389959384;PARADAS DE POSTE;RIVADAVIA AV.;;MONTIEL;CARHUE
1006338;-58.5217485861525;-34.6390081667;PARADAS DE POSTE;RIVADAVIA AV.;11136;;
1006181;-58.5260192502127;-34.6390154029;PARADAS DE POSTE;RIVADAVIA AV.;;CARHUE;MONTIEL
1005347;-58.3744138214384;-34.6390189742;PARADA NO OFICIAL;MONTES DE OCA, MANUEL;934;;
1006180;-58.5257648249004;-34.6390330753;PARADAS DE POSTE;RIVADAVIA AV.;;MONTIEL;CARHUE
1006337;-58.5209202966583;-34.6390532463;PARADAS DE POSTE;RIVADAVIA AV.;11088;;
10937;-58.5187702805125;-34.6390606273;;;;;
1005997;-58.5240778402060;-34.6390664637;PARADAS DE POSTE;RIVADAVIA AV.;11330;;
1006167;-58.5165328752376;-34.6390694415;PARADA NO OFICIAL;RIVADAVIA AV.;10823;;
1002421;-58.4660438242074;-34.6390764561;PARADAS DE POSTE;SAN PEDRITO AV.;695;;
1006000;-58.5242653635880;-34.6390826416;PARADAS DE POSTE;RIVADAVIA AV.;11342;;
1005769;-58.5262915763271;-34.6390859382;PARADAS DE POSTE;RIVADAVIA AV.;;MONTIEL;CARHUE
1006162;-58.5157552270634;-34.6390930199;PARADA NO OFICIAL;RIVADAVIA AV.;10785;;
1001198;-58.4174267421054;-34.6391000180;PARADAS DE POSTE;CASEROS AV.;3735;CASTRO BARROS;CHICLANA AV.
1001189;-58.4166901936105;-34.6391058812;PARADA NO OFICIAL;CASEROS AV.;3682;RAULET;SAENZ AV.
1005708;-58.5245467596139;-34.6391069176;PARADA NO OFICIAL;RIVADAVIA AV.;11362;;
1005917;-58.4761829813991;-34.6391096815;PARADAS DE POSTE;DIRECTORIO AV.;3710;;
10771;-58.4864879813051;-34.6391128879;;;;;
1001199;-58.4175081314022;-34.6391132807;PARADAS DE POSTE;CASEROS AV.;3743;CASTRO BARROS;CHICLANA AV.
1006331;-58.5094041729895;-34.6391138374;PARADA NO OFICIAL;RIVADAVIA AV.;10320;;
10775;-58.5100526633720;-34.6391167196;;;;;
1006003;-58.5247823341317;-34.6391272402;PARADAS DE POSTE;RIVADAVIA AV.;11380;;
10870;-58.5174120271858;-34.6391371621;;;;;
1006332;-58.5095534735515;-34.6391399072;PARADA NO OFICIAL;RIVADAVIA AV.;10370;;
1005974;-58.5095833336732;-34.6391451212;PARADA NO OFICIAL;RIVADAVIA AV.;10380;;
10918;-58.5264234059913;-34.6391493364;;;;;
1006149;-58.5108912729906;-34.6391508259;PARADA NO OFICIAL;RIVADAVIA AV.;10469;;
1006160;-58.5139007738469;-34.6391555828;PARADAS DE POSTE;RIVADAVIA AV.;10675;;
1006164;-58.5138065948401;-34.6391591022;PARADAS DE POSTE;RIVADAVIA AV.;10661;;
1006155;-58.5136183311433;-34.6391661362;PARADAS DE POSTE;RIVADAVIA AV.;10637;;
1006004;-58.5253916302950;-34.6391714245;PARADA NO OFICIAL;RIVADAVIA AV.;11412;;
1006150;-58.5134516896866;-34.6391723629;PARADA NO OFICIAL;RIVADAVIA AV.;10621;;
1005617;-58.3611603844375;-34.6391789664;PARADAS CON REFUGIO;DON PEDRO DE MENDOZA AV.;1856;;
10880;-58.5163017066453;-34.6391811072;;;;;
1006342;-58.5255272595393;-34.6391815941;PARADAS DE POSTE;RIVADAVIA AV.;11420;;
10788;-58.5159123125433;-34.6391933908;;;;;
1003135;-58.4418020269422;-34.6391946719;PARADA NO OFICIAL;BALBASTRO;1689;;
1001188;-58.4172150841950;-34.6391947970;PARADA NO OFICIAL;CASEROS AV.;3710;QUILMES;RAULET
1006151;-58.5125835260568;-34.6392049411;PARADAS DE POSTE;RIVADAVIA AV.;10573;;
1006369;-58.5124893183935;-34.6392080453;PARADAS DE POSTE;RIVADAVIA AV.;10567;;
1006344;-58.5260359315317;-34.6392197331;PARADAS DE POSTE;RIVADAVIA AV.;11464;;
10791;-58.4757077921063;-34.6392229683;;;;;
1004313;-58.3900619966804;-34.6392342116;PARADAS CON REFUGIO;VELEZ SARSFIELD AV.;405;;
1004314;-58.3900619966804;-34.6392342116;PARADAS CON REFUGIO;VELEZ SARSFIELD AV.;405;ONCATIVO;
1006345;-58.5262630928082;-34.6392367647;PARADAS DE POSTE;RIVADAVIA AV.;11500;;
1002435;-58.4655536741345;-34.6392406106;PARADAS DE POSTE;SAN PEDRITO;710;;
1005619;-58.3612673102876;-34.6392424479;PARADAS CON REFUGIO;DON PEDRO DE MENDOZA AV.;1864;;
10793;-58.5142986696681;-34.6392454238;;;;;
10796;-58.5277135403717;-34.6392534475;;;;;
1005984;-58.5166298059170;-34.6392751175;PARADA NO OFICIAL;RIVADAVIA AV.;10842;;
1005730;-58.4944606031460;-34.6392872188;PARADA NO OFICIAL;RAFAELA;4795;;
10804;-58.5129929660478;-34.6392942102;;;;;
1006336;-58.5157840991693;-34.6393027739;PARADAS DE POSTE;RIVADAVIA AV.;10794;;
1005710;-58.5270485687967;-34.6393043533;PARADAS DE POSTE;RIVADAVIA AV.;11530;;
1006335;-58.5155549080213;-34.6393100133;PARADAS DE POSTE;RIVADAVIA AV.;10778;;
1005711;-58.5271768632887;-34.6393147063;PARADAS DE POSTE;RIVADAVIA AV.;11550;;
1006346;-58.5273794353673;-34.6393310530;PARADAS DE POSTE;RIVADAVIA AV.;11570;;
1001200;-58.4185014056484;-34.6393394882;PARADAS CON REFUGIO;CASEROS AV.;3791;CASTRO BARROS;CHICLANA AV.
10808;-58.5114108465585;-34.6393463329;;;;;
1003554;-58.4543761980665;-34.6393481835;PARADA NO OFICIAL;PERON, EVA AV.;2351;;
1006334;-58.5132157452324;-34.6393905968;PARADAS DE POSTE;RIVADAVIA AV.;10614;;
1001201;-58.4193068390392;-34.6393927933;PARADA NO OFICIAL;CASEROS AV.;3867;CASTRO;TREINTA Y TRES ORIENTALES
1001202;-58.4193068390392;-34.6393927933;PARADA NO OFICIAL;CASEROS AV.;3871;CASTRO;TREINTA Y TRES ORIENTALES
1006352;-58.5212792401253;-34.6394640214;PARADA NO OFICIAL;DE LA TORRE, LISANDRO;49;;
1005404;-58.4976413945816;-34.6394906766;PARADA NO OFICIAL;LEOPARDI;187;;
10825;-58.5290942931858;-34.6395129232;;;;;
10819;-58.4900592756262;-34.6395136307;;;;;
10833;-58.3758409819189;-34.6395336578;;;;;
15941;-58.5297226275153;-34.6395457180;;;;;
1001187;-58.4197516264067;-34.6395991488;PARADAS CON REFUGIO;CASEROS AV.;3908;PIROVANO;TROLE
10842;-58.4118257380824;-34.6396184160;;;;;
1005423;-58.4121857684511;-34.6396455125;PARADA NO OFICIAL;USPALLATA;3427;;
1001186;-58.4200617472390;-34.6396544642;PARADAS DE POSTE;CASEROS AV.;3942;PIROVANO;TROLE
1003168;-58.4446258539426;-34.6396605620;PARADA NO OFICIAL;CURAPALIGUE AV.;1587;;
1003555;-58.4546756149688;-34.6396635058;PARADAS DE POSTE;PERON, EVA AV.;2387;;
1003120;-58.4444810752555;-34.6396716791;PARADAS DE POSTE;CURAPALIGUE AV.;1590;;
1005433;-58.4159970781031;-34.6396862539;PARADAS DE POSTE;SAENZ AV.;52;;
1006563;-58.3887001978721;-34.6396940567;PARADA NO OFICIAL;ALCORTA, AMANCIO AV.;1936;;
